# Renewables.ninja Solar PV (Point API) - 53.381, -1.486 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""53.381"""," ""lon"": ""-1.486"""," ""date_from"": ""2014-01-01"""," ""date_to"": ""2014-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
2014/01/01 00:00,2014/01/01 00:00,0,0,0,3.33,,,,,,,,,,,,,
2014/01/01 01:00,2014/01/01 01:00,0,0,0,3.298,,,,,,,,,,,,,
2014/01/01 02:00,2014/01/01 02:00,0,0,0,3.477,,,,,,,,,,,,,
2014/01/01 03:00,2014/01/01 03:00,0,0,0,3.638,,,,,,,,,,,,,
2014/01/01 04:00,2014/01/01 04:00,0,0,0,3.544,,,,,,,,,,,,,
2014/01/01 05:00,2014/01/01 05:00,0,0,0,3.524,,,,,,,,,,,,,
2014/01/01 06:00,2014/01/01 06:00,0,0,0,3.738,,,,,,,,,,,,,
2014/01/01 07:00,2014/01/01 07:00,0,0,0,4.044,,,,,,,,,,,,,
2014/01/01 08:00,2014/01/01 08:00,0,0,0.002,4.373,,,,,,,,,,,,,
2014/01/01 09:00,2014/01/01 09:00,0.006,0.001,0.015,4.912,,,,,,,,,,,,,
2014/01/01 10:00,2014/01/01 10:00,0.012,0.001,0.022,5.405,,,,,,,,,,,,,
2014/01/01 11:00,2014/01/01 11:00,0.014,0.001,0.025,5.685,,,,,,,,,,,,,
2014/01/01 12:00,2014/01/01 12:00,0.012,0.001,0.023,5.638,,,,,,,,,,,,,
2014/01/01 13:00,2014/01/01 13:00,0.006,0,0.015,5.527,,,,,,,,,,,,,
2014/01/01 14:00,2014/01/01 14:00,0.001,0,0.008,5.968,,,,,,,,,,,,,
2014/01/01 15:00,2014/01/01 15:00,0,0,0.001,7.353,,,,,,,,,,,,,
2014/01/01 16:00,2014/01/01 16:00,0,0,0,8.451,,,,,,,,,,,,,
2014/01/01 17:00,2014/01/01 17:00,0,0,0,8.635,,,,,,,,,,,,,
2014/01/01 18:00,2014/01/01 18:00,0,0,0,8.514,,,,,,,,,,,,,
2014/01/01 19:00,2014/01/01 19:00,0,0,0,8.422,,,,,,,,,,,,,
2014/01/01 20:00,2014/01/01 20:00,0,0,0,8.47,,,,,,,,,,,,,
2014/01/01 21:00,2014/01/01 21:00,0,0,0,8.521,,,,,,,,,,,,,
2014/01/01 22:00,2014/01/01 22:00,0,0,0,8.336,,,,,,,,,,,,,
2014/01/01 23:00,2014/01/01 23:00,0,0,0,7.911,,,,,,,,,,,,,
2014/01/02 00:00,2014/01/02 00:00,0,0,0,7.187,,,,,,,,,,,,,
2014/01/02 01:00,2014/01/02 01:00,0,0,0,6.232,,,,,,,,,,,,,
2014/01/02 02:00,2014/01/02 02:00,0,0,0,5.304,,,,,,,,,,,,,
2014/01/02 03:00,2014/01/02 03:00,0,0,0,4.751,,,,,,,,,,,,,
2014/01/02 04:00,2014/01/02 04:00,0,0,0,4.688,,,,,,,,,,,,,
2014/01/02 05:00,2014/01/02 05:00,0,0,0,4.697,,,,,,,,,,,,,
