# Renewables.ninja Solar PV (Point API) - 37.970, 23.726 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Athens, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Athens"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""37.9703"""," ""lon"": ""23.7264"""," ""date_from"": ""2014-01-01"""," ""date_to"": ""2014-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
2014/01/01 00:00,2014/01/01 02:00,0,0,0,10.368,0,,,,,,,,,,,,,
2014/01/01 01:00,2014/01/01 03:00,0,0,0,10.503,0,,,,,,,,,,,,,
2014/01/01 02:00,2014/01/01 04:00,0,0,0,10.645,0,,,,,,,,,,,,,
2014/01/01 03:00,2014/01/01 05:00,0,0,0,10.724,0,,,,,,,,,,,,,
2014/01/01 04:00,2014/01/01 06:00,0,0,0,10.675,0,,,,,,,,,,,,,
2014/01/01 05:00,2014/01/01 07:00,0,0,0,10.601,0,,,,,,,,,,,,,
2014/01/01 06:00,2014/01/01 08:00,0.01,0.004,0.018,10.598,0,,,,,,,,,,,,,
2014/01/01 07:00,2014/01/01 09:00,0.026,0,0.043,10.696,0,,,,,,,,,,,,,
2014/01/01 08:00,2014/01/01 10:00,0.041,0,0.059,10.854,0,,,,,,,,,,,,,
2014/01/01 09:00,2014/01/01 11:00,0.048,0,0.068,11.065,0,,,,,,,,,,,,,
2014/01/01 10:00,2014/01/01 12:00,0.056,0,0.077,11.315,0,,,,,,,,,,,,,
2014/01/01 11:00,2014/01/01 13:00,0.04,0,0.059,11.584,0,,,,,,,,,,,,,
2014/01/01 12:00,2014/01/01 14:00,0.023,0,0.039,11.685,0,,,,,,,,,,,,,
2014/01/01 13:00,2014/01/01 15:00,0.086,0.055,0.054,11.657,0,,,,,,,,,,,,,
2014/01/01 14:00,2014/01/01 16:00,0.182,0.131,0.081,11.132,0,,,,,,,,,,,,,
2014/01/01 15:00,2014/01/01 17:00,0.001,0.003,0.006,10.54,0,,,,,,,,,,,,,
2014/01/01 16:00,2014/01/01 18:00,0,0,0,10.557,0,,,,,,,,,,,,,
2014/01/01 17:00,2014/01/01 19:00,0,0,0,10.616,0,,,,,,,,,,,,,
2014/01/01 18:00,2014/01/01 20:00,0,0,0,10.588,0,,,,,,,,,,,,,
2014/01/01 19:00,2014/01/01 21:00,0,0,0,10.569,0,,,,,,,,,,,,,
2014/01/01 20:00,2014/01/01 22:00,0,0,0,10.529,0,,,,,,,,,,,,,
2014/01/01 21:00,2014/01/01 23:00,0,0,0,10.514,0,,,,,,,,,,,,,
2014/01/01 22:00,2014/01/02 00:00,0,0,0,10.531,0,,,,,,,,,,,,,
2014/01/01 23:00,2014/01/02 01:00,0,0,0,10.573,0,,,,,,,,,,,,,
2014/01/02 00:00,2014/01/02 02:00,0,0,0,10.303,0,,,,,,,,,,,,,
2014/01/02 01:00,2014/01/02 03:00,0,0,0,10.239,0,,,,,,,,,,,,,
2014/01/02 02:00,2014/01/02 04:00,0,0,0,10.412,0,,,,,,,,,,,,,
2014/01/02 03:00,2014/01/02 05:00,0,0,0,10.481,0,,,,,,,,,,,,,
2014/01/02 04:00,2014/01/02 06:00,0,0,0,10.44,0,,,,,,,,,,,,,
2014/01/02 05:00,2014/01/02 07:00,0,0,0,10.207,0,,,,,,,,,,,,,
2014/01/02 06:00,2014/01/02 08:00,0.062,0.056,0.027,10.72,0,,,,,,,,,,,,,
2014/01/02 07:00,2014/01/02 09:00,0.369,0.362,0.055,11.424,0,,,,,,,,,,,,,
2014/01/02 08:00,2014/01/02 10:00,0.571,0.575,0.082,11.975,0,,,,,,,,,,,,,
2014/01/02 09:00,2014/01/02 11:00,0.562,0.492,0.155,12.459,0,,,,,,,,,,,,,
2014/01/02 10:00,2014/01/02 12:00,0.275,0.109,0.204,12.849,0,,,,,,,,,,,,,
2014/01/02 11:00,2014/01/02 13:00,0.145,0.013,0.161,13.12,0,,,,,,,,,,,,,
2014/01/02 12:00,2014/01/02 14:00,0.191,0.038,0.185,13.374,0,,,,,,,,,,,,,
2014/01/02 13:00,2014/01/02 15:00,0.184,0.069,0.147,13.217,0,,,,,,,,,,,,,
2014/01/02 14:00,2014/01/02 16:00,0.126,0.07,0.082,12.165,0,,,,,,,,,,,,,
2014/01/02 15:00,2014/01/02 17:00,0.008,0.011,0.009,10.32,0,,,,,,,,,,,,,
2014/01/02 16:00,2014/01/02 18:00,0,0,0,9.765,0,,,,,,,,,,,,,
2014/01/02 17:00,2014/01/02 19:00,0,0,0,9.369,0,,,,,,,,,,,,,
2014/01/02 18:00,2014/01/02 20:00,0,0,0,9.191,0,,,,,,,,,,,,,
2014/01/02 19:00,2014/01/02 21:00,0,0,0,9.307,0,,,,,,,,,,,,,
2014/01/02 20:00,2014/01/02 22:00,0,0,0,9.489,0,,,,,,,,,,,,,
2014/01/02 21:00,2014/01/02 23:00,0,0,0,9.563,0,,,,,,,,,,,,,
2014/01/02 22:00,2014/01/03 00:00,0,0,0,9.561,0,,,,,,,,,,,,,
2014/01/02 23:00,2014/01/03 01:00,0,0,0,9.536,0,,,,,,,,,,,,,
2014/01/03 00:00,2014/01/03 02:00,0,0,0,9.499,0,,,,,,,,,,,,,
2014/01/03 01:00,2014/01/03 03:00,0,0,0,9.414,0,,,,,,,,,,,,,
2014/01/03 02:00,2014/01/03 04:00,0,0,0,9.336,0,,,,,,,,,,,,,
2014/01/03 03:00,2014/01/03 05:00,0,0,0,9.277,0,,,,,,,,,,,,,
2014/01/03 04:00,2014/01/03 06:00,0,0,0,9.264,0,,,,,,,,,,,,,
2014/01/03 05:00,2014/01/03 07:00,0,0,0,9.275,0,,,,,,,,,,,,,
2014/01/03 06:00,2014/01/03 08:00,0.102,0.102,0.024,9.99,0,,,,,,,,,,,,,
2014/01/03 07:00,2014/01/03 09:00,0.388,0.389,0.05,11.884,0,,,,,,,,,,,,,
2014/01/03 08:00,2014/01/03 10:00,0.587,0.606,0.074,12.881,0,,,,,,,,,,,,,
2014/01/03 09:00,2014/01/03 11:00,0.699,0.731,0.099,13.718,0,,,,,,,,,,,,,
2014/01/03 10:00,2014/01/03 12:00,0.69,0.673,0.146,14.403,0,,,,,,,,,,,,,
2014/01/03 11:00,2014/01/03 13:00,0.528,0.421,0.191,14.715,0,,,,,,,,,,,,,
2014/01/03 12:00,2014/01/03 14:00,0.355,0.224,0.182,14.749,0,,,,,,,,,,,,,
2014/01/03 13:00,2014/01/03 15:00,0.185,0.072,0.146,14.485,0,,,,,,,,,,,,,
2014/01/03 14:00,2014/01/03 16:00,0.105,0.051,0.08,13.425,0,,,,,,,,,,,,,
2014/01/03 15:00,2014/01/03 17:00,0.002,0.003,0.008,12.345,0,,,,,,,,,,,,,
2014/01/03 16:00,2014/01/03 18:00,0,0,0,12.004,0,,,,,,,,,,,,,
2014/01/03 17:00,2014/01/03 19:00,0,0,0,11.676,0,,,,,,,,,,,,,
2014/01/03 18:00,2014/01/03 20:00,0,0,0,11.381,0,,,,,,,,,,,,,
2014/01/03 19:00,2014/01/03 21:00,0,0,0,11.092,0,,,,,,,,,,,,,
2014/01/03 20:00,2014/01/03 22:00,0,0,0,10.815,0,,,,,,,,,,,,,
2014/01/03 21:00,2014/01/03 23:00,0,0,0,10.482,0,,,,,,,,,,,,,
2014/01/03 22:00,2014/01/04 00:00,0,0,0,10.029,0,,,,,,,,,,,,,
2014/01/03 23:00,2014/01/04 01:00,0,0,0,9.499,0,,,,,,,,,,,,,
2014/01/04 00:00,2014/01/04 02:00,0,0,0,9.088,0,,,,,,,,,,,,,
2014/01/04 01:00,2014/01/04 03:00,0,0,0,8.783,0,,,,,,,,,,,,,
2014/01/04 02:00,2014/01/04 04:00,0,0,0,8.558,0,,,,,,,,,,,,,
2014/01/04 03:00,2014/01/04 05:00,0,0,0,8.403,0,,,,,,,,,,,,,
2014/01/04 04:00,2014/01/04 06:00,0,0,0,8.324,0,,,,,,,,,,,,,
2014/01/04 05:00,2014/01/04 07:00,0,0,0,8.361,0,,,,,,,,,,,,,
2014/01/04 06:00,2014/01/04 08:00,0.103,0.104,0.023,9.566,0,,,,,,,,,,,,,
2014/01/04 07:00,2014/01/04 09:00,0.388,0.39,0.049,12.112,0,,,,,,,,,,,,,
2014/01/04 08:00,2014/01/04 10:00,0.585,0.604,0.074,13.253,0,,,,,,,,,,,,,
2014/01/04 09:00,2014/01/04 11:00,0.693,0.721,0.102,14.162,0,,,,,,,,,,,,,
2014/01/04 10:00,2014/01/04 12:00,0.648,0.602,0.164,14.86,0,,,,,,,,,,,,,
2014/01/04 11:00,2014/01/04 13:00,0.525,0.398,0.212,15.273,0,,,,,,,,,,,,,
2014/01/04 12:00,2014/01/04 14:00,0.502,0.4,0.181,15.39,0,,,,,,,,,,,,,
2014/01/04 13:00,2014/01/04 15:00,0.355,0.257,0.15,15.078,0,,,,,,,,,,,,,
2014/01/04 14:00,2014/01/04 16:00,0.214,0.16,0.088,13.531,0,,,,,,,,,,,,,
2014/01/04 15:00,2014/01/04 17:00,0.014,0.016,0.011,11.665,0,,,,,,,,,,,,,
2014/01/04 16:00,2014/01/04 18:00,0,0,0,11.167,0,,,,,,,,,,,,,
2014/01/04 17:00,2014/01/04 19:00,0,0,0,10.906,0,,,,,,,,,,,,,
2014/01/04 18:00,2014/01/04 20:00,0,0,0,10.806,0,,,,,,,,,,,,,
2014/01/04 19:00,2014/01/04 21:00,0,0,0,10.79,0,,,,,,,,,,,,,
2014/01/04 20:00,2014/01/04 22:00,0,0,0,11.062,0,,,,,,,,,,,,,
2014/01/04 21:00,2014/01/04 23:00,0,0,0,10.968,0,,,,,,,,,,,,,
2014/01/04 22:00,2014/01/05 00:00,0,0,0,10.841,0,,,,,,,,,,,,,
