# Renewables.ninja Solar PV (Point API) - 30.042, 31.224 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Africa/Cairo, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Africa/Cairo"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""30.042354434793385"""," ""lon"": ""31.224027345155893"""," ""date_from"": ""2014-01-01"""," ""date_to"": ""2014-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
2014/01/01 00:00,2014/01/01 02:00,0,0,0,9.972,,,,,,,,,,,,,
2014/01/01 01:00,2014/01/01 03:00,0,0,0,9.674,,,,,,,,,,,,,
2014/01/01 02:00,2014/01/01 04:00,0,0,0,9.358,,,,,,,,,,,,,
2014/01/01 03:00,2014/01/01 05:00,0,0,0,8.906,,,,,,,,,,,,,
2014/01/01 04:00,2014/01/01 06:00,0,0,0,8.625,,,,,,,,,,,,,
2014/01/01 05:00,2014/01/01 07:00,0.066,0.037,0.049,9.358,,,,,,,,,,,,,
2014/01/01 06:00,2014/01/01 08:00,0.236,0.144,0.126,11.506,,,,,,,,,,,,,
2014/01/01 07:00,2014/01/01 09:00,0.39,0.279,0.17,14.472,,,,,,,,,,,,,
2014/01/01 08:00,2014/01/01 10:00,0.521,0.432,0.185,16.511,,,,,,,,,,,,,
2014/01/01 09:00,2014/01/01 11:00,0.574,0.501,0.19,17.717,,,,,,,,,,,,,
2014/01/01 10:00,2014/01/01 12:00,0.623,0.596,0.166,18.638,,,,,,,,,,,,,
2014/01/01 11:00,2014/01/01 13:00,0.579,0.552,0.152,19.133,,,,,,,,,,,,,
2014/01/01 12:00,2014/01/01 14:00,0.404,0.321,0.156,19.079,,,,,,,,,,,,,
2014/01/01 13:00,2014/01/01 15:00,0.151,0.069,0.114,18.472,,,,,,,,,,,,,
2014/01/01 14:00,2014/01/01 16:00,0.026,0.011,0.031,16.648,,,,,,,,,,,,,
2014/01/01 15:00,2014/01/01 17:00,0,0,0,14.993,,,,,,,,,,,,,
2014/01/01 16:00,2014/01/01 18:00,0,0,0,14.31,,,,,,,,,,,,,
2014/01/01 17:00,2014/01/01 19:00,0,0,0,13.554,,,,,,,,,,,,,
2014/01/01 18:00,2014/01/01 20:00,0,0,0,12.661,,,,,,,,,,,,,
2014/01/01 19:00,2014/01/01 21:00,0,0,0,11.816,,,,,,,,,,,,,
2014/01/01 20:00,2014/01/01 22:00,0,0,0,11.069,,,,,,,,,,,,,
2014/01/01 21:00,2014/01/01 23:00,0,0,0,10.544,,,,,,,,,,,,,
2014/01/01 22:00,2014/01/02 00:00,0,0,0,10.233,,,,,,,,,,,,,
2014/01/01 23:00,2014/01/02 01:00,0,0,0,9.966,,,,,,,,,,,,,
2014/01/02 00:00,2014/01/02 02:00,0,0,0,9.7,,,,,,,,,,,,,
2014/01/02 01:00,2014/01/02 03:00,0,0,0,9.548,,,,,,,,,,,,,
2014/01/02 02:00,2014/01/02 04:00,0,0,0,9.581,,,,,,,,,,,,,
2014/01/02 03:00,2014/01/02 05:00,0,0,0,9.674,,,,,,,,,,,,,
2014/01/02 04:00,2014/01/02 06:00,0,0,0.001,9.749,,,,,,,,,,,,,
2014/01/02 05:00,2014/01/02 07:00,0.16,0.14,0.047,10.524,,,,,,,,,,,,,
2014/01/02 06:00,2014/01/02 08:00,0.419,0.404,0.076,12.85,,,,,,,,,,,,,
2014/01/02 07:00,2014/01/02 09:00,0.596,0.627,0.087,16.094,,,,,,,,,,,,,
2014/01/02 08:00,2014/01/02 10:00,0.7,0.777,0.094,18.272,,,,,,,,,,,,,
2014/01/02 09:00,2014/01/02 11:00,0.713,0.786,0.11,19.341,,,,,,,,,,,,,
2014/01/02 10:00,2014/01/02 12:00,0.708,0.782,0.11,20.012,,,,,,,,,,,,,
2014/01/02 11:00,2014/01/02 13:00,0.645,0.693,0.107,20.313,,,,,,,,,,,,,
2014/01/02 12:00,2014/01/02 14:00,0.506,0.505,0.105,20.162,,,,,,,,,,,,,
2014/01/02 13:00,2014/01/02 15:00,0.302,0.265,0.092,19.476,,,,,,,,,,,,,
2014/01/02 14:00,2014/01/02 16:00,0.066,0.05,0.038,16.582,,,,,,,,,,,,,
2014/01/02 15:00,2014/01/02 17:00,0,0,0,14.241,,,,,,,,,,,,,
2014/01/02 16:00,2014/01/02 18:00,0,0,0,13.356,,,,,,,,,,,,,
2014/01/02 17:00,2014/01/02 19:00,0,0,0,12.692,,,,,,,,,,,,,
2014/01/02 18:00,2014/01/02 20:00,0,0,0,12.03,,,,,,,,,,,,,
