# Renewables.ninja Solar PV (Point API) - 30.042, 31.224 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Africa/Cairo, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Africa/Cairo"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""30.042354434793385"""," ""lon"": ""31.224027345155893"""," ""date_from"": ""2014-01-01"""," ""date_to"": ""2014-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
2014/01/01 00:00,2014/01/01 02:00,0,0,0,9.972,0,,,,,,,,,,,,,
2014/01/01 01:00,2014/01/01 03:00,0,0,0,9.674,0,,,,,,,,,,,,,
2014/01/01 02:00,2014/01/01 04:00,0,0,0,9.358,0,,,,,,,,,,,,,
2014/01/01 03:00,2014/01/01 05:00,0,0,0,8.906,0,,,,,,,,,,,,,
2014/01/01 04:00,2014/01/01 06:00,0,0,0,8.625,0,,,,,,,,,,,,,
2014/01/01 05:00,2014/01/01 07:00,0.034,0.034,0.017,9.358,0,,,,,,,,,,,,,
2014/01/01 06:00,2014/01/01 08:00,0.054,0.017,0.057,11.506,0,,,,,,,,,,,,,
2014/01/01 07:00,2014/01/01 09:00,0.24,0.118,0.16,14.472,0,,,,,,,,,,,,,
2014/01/01 08:00,2014/01/01 10:00,0.556,0.493,0.17,16.511,0,,,,,,,,,,,,,
2014/01/01 09:00,2014/01/01 11:00,0.614,0.545,0.201,17.717,0,,,,,,,,,,,,,
2014/01/01 10:00,2014/01/01 12:00,0.531,0.373,0.264,18.638,0,,,,,,,,,,,,,
2014/01/01 11:00,2014/01/01 13:00,0.617,0.564,0.192,19.133,0,,,,,,,,,,,,,
2014/01/01 12:00,2014/01/01 14:00,0.563,0.517,0.164,19.079,0,,,,,,,,,,,,,
2014/01/01 13:00,2014/01/01 15:00,0.331,0.237,0.152,18.472,0,,,,,,,,,,,,,
2014/01/01 14:00,2014/01/01 16:00,0.177,0.125,0.086,16.648,0,,,,,,,,,,,,,
2014/01/01 15:00,2014/01/01 17:00,0.004,0.007,0.007,14.993,0,,,,,,,,,,,,,
2014/01/01 16:00,2014/01/01 18:00,0,0,0,14.31,0,,,,,,,,,,,,,
2014/01/01 17:00,2014/01/01 19:00,0,0,0,13.554,0,,,,,,,,,,,,,
2014/01/01 18:00,2014/01/01 20:00,0,0,0,12.661,0,,,,,,,,,,,,,
2014/01/01 19:00,2014/01/01 21:00,0,0,0,11.816,0,,,,,,,,,,,,,
2014/01/01 20:00,2014/01/01 22:00,0,0,0,11.069,0,,,,,,,,,,,,,
2014/01/01 21:00,2014/01/01 23:00,0,0,0,10.544,0,,,,,,,,,,,,,
2014/01/01 22:00,2014/01/02 00:00,0,0,0,10.233,0,,,,,,,,,,,,,
2014/01/01 23:00,2014/01/02 01:00,0,0,0,9.966,0,,,,,,,,,,,,,
2014/01/02 00:00,2014/01/02 02:00,0,0,0,9.7,0,,,,,,,,,,,,,
2014/01/02 01:00,2014/01/02 03:00,0,0,0,9.548,0,,,,,,,,,,,,,
2014/01/02 02:00,2014/01/02 04:00,0,0,0,9.581,0,,,,,,,,,,,,,
2014/01/02 03:00,2014/01/02 05:00,0,0,0,9.674,0,,,,,,,,,,,,,
2014/01/02 04:00,2014/01/02 06:00,0,0,0,9.749,0,,,,,,,,,,,,,
2014/01/02 05:00,2014/01/02 07:00,0.034,0.03,0.021,10.524,0,,,,,,,,,,,,,
2014/01/02 06:00,2014/01/02 08:00,0.25,0.211,0.076,12.85,0,,,,,,,,,,,,,
2014/01/02 07:00,2014/01/02 09:00,0.489,0.478,0.097,16.094,0,,,,,,,,,,,,,
2014/01/02 08:00,2014/01/02 10:00,0.639,0.673,0.11,18.272,0,,,,,,,,,,,,,
2014/01/02 09:00,2014/01/02 11:00,0.718,0.78,0.124,19.341,0,,,,,,,,,,,,,
2014/01/02 10:00,2014/01/02 12:00,0.713,0.745,0.155,20.012,0,,,,,,,,,,,,,
2014/01/02 11:00,2014/01/02 13:00,0.717,0.781,0.126,20.313,0,,,,,,,,,,,,,
2014/01/02 12:00,2014/01/02 14:00,0.632,0.661,0.121,20.162,0,,,,,,,,,,,,,
2014/01/02 13:00,2014/01/02 15:00,0.452,0.415,0.123,19.476,0,,,,,,,,,,,,,
2014/01/02 14:00,2014/01/02 16:00,0.189,0.138,0.086,16.582,0,,,,,,,,,,,,,
2014/01/02 15:00,2014/01/02 17:00,0.006,0.009,0.007,14.241,0,,,,,,,,,,,,,
2014/01/02 16:00,2014/01/02 18:00,0,0,0,13.356,0,,,,,,,,,,,,,
2014/01/02 17:00,2014/01/02 19:00,0,0,0,12.692,0,,,,,,,,,,,,,
2014/01/02 18:00,2014/01/02 20:00,0,0,0,12.03,0,,,,,,,,,,,,,
2014/01/02 19:00,2014/01/02 21:00,0,0,0,11.24,0,,,,,,,,,,,,,
2014/01/02 20:00,2014/01/02 22:00,0,0,0,10.471,0,,,,,,,,,,,,,
2014/01/02 21:00,2014/01/02 23:00,0,0,0,9.815,0,,,,,,,,,,,,,
2014/01/02 22:00,2014/01/03 00:00,0,0,0,9.418,0,,,,,,,,,,,,,
2014/01/02 23:00,2014/01/03 01:00,0,0,0,9.162,0,,,,,,,,,,,,,
2014/01/03 00:00,2014/01/03 02:00,0,0,0,9.076,0,,,,,,,,,,,,,
2014/01/03 01:00,2014/01/03 03:00,0,0,0,9.111,0,,,,,,,,,,,,,
2014/01/03 02:00,2014/01/03 04:00,0,0,0,9.23,0,,,,,,,,,,,,,
2014/01/03 03:00,2014/01/03 05:00,0,0,0,9.415,0,,,,,,,,,,,,,
2014/01/03 04:00,2014/01/03 06:00,0,0,0,9.621,0,,,,,,,,,,,,,
2014/01/03 05:00,2014/01/03 07:00,0.037,0.034,0.02,10.11,0,,,,,,,,,,,,,
2014/01/03 06:00,2014/01/03 08:00,0.251,0.212,0.075,12.038,0,,,,,,,,,,,,,
2014/01/03 07:00,2014/01/03 09:00,0.485,0.467,0.1,15.213,0,,,,,,,,,,,,,
2014/01/03 08:00,2014/01/03 10:00,0.632,0.649,0.12,17.166,0,,,,,,,,,,,,,
2014/01/03 09:00,2014/01/03 11:00,0.714,0.761,0.132,18.434,0,,,,,,,,,,,,,
2014/01/03 10:00,2014/01/03 12:00,0.736,0.79,0.14,19.236,0,,,,,,,,,,,,,
2014/01/03 11:00,2014/01/03 13:00,0.714,0.765,0.133,19.56,0,,,,,,,,,,,,,
2014/01/03 12:00,2014/01/03 14:00,0.609,0.605,0.14,19.311,0,,,,,,,,,,,,,
2014/01/03 13:00,2014/01/03 15:00,0.433,0.38,0.132,18.608,0,,,,,,,,,,,,,
2014/01/03 14:00,2014/01/03 16:00,0.183,0.13,0.087,16.501,0,,,,,,,,,,,,,
2014/01/03 15:00,2014/01/03 17:00,0.005,0.008,0.007,14.867,0,,,,,,,,,,,,,
2014/01/03 16:00,2014/01/03 18:00,0,0,0,14.602,0,,,,,,,,,,,,,
2014/01/03 17:00,2014/01/03 19:00,0,0,0,14.249,0,,,,,,,,,,,,,
2014/01/03 18:00,2014/01/03 20:00,0,0,0,13.8,0,,,,,,,,,,,,,
2014/01/03 19:00,2014/01/03 21:00,0,0,0,13.04,0,,,,,,,,,,,,,
2014/01/03 20:00,2014/01/03 22:00,0,0,0,12.056,0,,,,,,,,,,,,,
2014/01/03 21:00,2014/01/03 23:00,0,0,0,11.127,0,,,,,,,,,,,,,
2014/01/03 22:00,2014/01/04 00:00,0,0,0,10.469,0,,,,,,,,,,,,,
2014/01/03 23:00,2014/01/04 01:00,0,0,0,10.132,0,,,,,,,,,,,,,
2014/01/04 00:00,2014/01/04 02:00,0,0,0,9.868,0,,,,,,,,,,,,,
2014/01/04 01:00,2014/01/04 03:00,0,0,0,9.404,0,,,,,,,,,,,,,
2014/01/04 02:00,2014/01/04 04:00,0,0,0,9.14,0,,,,,,,,,,,,,
2014/01/04 03:00,2014/01/04 05:00,0,0,0,8.975,0,,,,,,,,,,,,,
2014/01/04 04:00,2014/01/04 06:00,0,0,0,9.261,0,,,,,,,,,,,,,
2014/01/04 05:00,2014/01/04 07:00,0.036,0.035,0.019,10.878,0,,,,,,,,,,,,,
2014/01/04 06:00,2014/01/04 08:00,0.215,0.163,0.086,12.927,0,,,,,,,,,,,,,
2014/01/04 07:00,2014/01/04 09:00,0.447,0.4,0.121,15.111,0,,,,,,,,,,,,,
2014/01/04 08:00,2014/01/04 10:00,0.582,0.542,0.155,16.389,0,,,,,,,,,,,,,
2014/01/04 09:00,2014/01/04 11:00,0.598,0.516,0.208,17.453,0,,,,,,,,,,,,,
2014/01/04 10:00,2014/01/04 12:00,0.472,0.282,0.278,18.362,0,,,,,,,,,,,,,
2014/01/04 11:00,2014/01/04 13:00,0.471,0.341,0.22,18.885,0,,,,,,,,,,,,,
2014/01/04 12:00,2014/01/04 14:00,0.279,0.142,0.187,18.777,0,,,,,,,,,,,,,
2014/01/04 13:00,2014/01/04 15:00,0.274,0.164,0.158,18.145,0,,,,,,,,,,,,,
2014/01/04 14:00,2014/01/04 16:00,0.099,0.052,0.073,16.785,0,,,,,,,,,,,,,
2014/01/04 15:00,2014/01/04 17:00,0,0,0.001,15.295,0,,,,,,,,,,,,,
2014/01/04 16:00,2014/01/04 18:00,0,0,0,14.915,0,,,,,,,,,,,,,
2014/01/04 17:00,2014/01/04 19:00,0,0,0,14.115,0,,,,,,,,,,,,,
2014/01/04 18:00,2014/01/04 20:00,0,0,0,13.078,0,,,,,,,,,,,,,
2014/01/04 19:00,2014/01/04 21:00,0,0,0,12.014,0,,,,,,,,,,,,,
2014/01/04 20:00,2014/01/04 22:00,0,0,0,10.931,0,,,,,,,,,,,,,
2014/01/04 21:00,2014/01/04 23:00,0,0,0,10.005,0,,,,,,,,,,,,,
2014/01/04 22:00,2014/01/05 00:00,0,0,0,9.539,0,,,,,,,,,,,,,
2014/01/04 23:00,2014/01/05 01:00,0,0,0,9.555,0,,,,,,,,,,,,,
2014/01/05 00:00,2014/01/05 02:00,0,0,0,9.846,0,,,,,,,,,,,,,
2014/01/05 01:00,2014/01/05 03:00,0,0,0,10.193,0,,,,,,,,,,,,,
2014/01/05 02:00,2014/01/05 04:00,0,0,0,10.25,0,,,,,,,,,,,,,
2014/01/05 03:00,2014/01/05 05:00,0,0,0,10.1,0,,,,,,,,,,,,,
2014/01/05 04:00,2014/01/05 06:00,0,0,0,9.968,0,,,,,,,,,,,,,
2014/01/05 05:00,2014/01/05 07:00,0.051,0.051,0.019,11.145,0,,,,,,,,,,,,,
2014/01/05 06:00,2014/01/05 08:00,0.27,0.243,0.066,13.424,0,,,,,,,,,,,,,
2014/01/05 07:00,2014/01/05 09:00,0.527,0.549,0.073,15.598,0,,,,,,,,,,,,,
2014/01/05 08:00,2014/01/05 10:00,0.628,0.641,0.122,17.215,0,,,,,,,,,,,,,
2014/01/05 09:00,2014/01/05 11:00,0.617,0.562,0.19,18.37,0,,,,,,,,,,,,,
2014/01/05 10:00,2014/01/05 12:00,0.497,0.316,0.278,19.021,0,,,,,,,,,,,,,
2014/01/05 11:00,2014/01/05 13:00,0.51,0.372,0.24,19.181,0,,,,,,,,,,,,,
2014/01/05 12:00,2014/01/05 14:00,0.308,0.144,0.218,18.924,0,,,,,,,,,,,,,
2014/01/05 13:00,2014/01/05 15:00,0.15,0.048,0.135,18.257,0,,,,,,,,,,,,,
2014/01/05 14:00,2014/01/05 16:00,0.077,0.039,0.062,16.515,0,,,,,,,,,,,,,
2014/01/05 15:00,2014/01/05 17:00,0.008,0.011,0.008,14.771,0,,,,,,,,,,,,,
2014/01/05 16:00,2014/01/05 18:00,0,0,0,14.519,0,,,,,,,,,,,,,
2014/01/05 17:00,2014/01/05 19:00,0,0,0,14.057,0,,,,,,,,,,,,,
2014/01/05 18:00,2014/01/05 20:00,0,0,0,13.273,0,,,,,,,,,,,,,
2014/01/05 19:00,2014/01/05 21:00,0,0,0,11.988,0,,,,,,,,,,,,,
2014/01/05 20:00,2014/01/05 22:00,0,0,0,10.674,0,,,,,,,,,,,,,
2014/01/05 21:00,2014/01/05 23:00,0,0,0,9.628,0,,,,,,,,,,,,,
2014/01/05 22:00,2014/01/06 00:00,0,0,0,8.935,0,,,,,,,,,,,,,
