# Renewables.ninja Solar PV (Point API) - 37.970, 23.726 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Athens, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Athens", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "37.9703", "lon": "23.7264", "date_from": "2014-01-01", "date_to": "2014-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2014-01-01 00:00,2014-01-01 02:00,0,0,0,8.861
2014-01-01 01:00,2014-01-01 03:00,0,0,0,8.976
2014-01-01 02:00,2014-01-01 04:00,0,0,0,9.098
2014-01-01 03:00,2014-01-01 05:00,0,0,0,9.165
2014-01-01 04:00,2014-01-01 06:00,0,0,0,9.123
2014-01-01 05:00,2014-01-01 07:00,0,0,0,9.060
2014-01-01 06:00,2014-01-01 08:00,0.004,0.001,0.012,9.058
2014-01-01 07:00,2014-01-01 09:00,0.024,0.002,0.037,9.142
2014-01-01 08:00,2014-01-01 10:00,0.087,0.008,0.100,9.277
2014-01-01 09:00,2014-01-01 11:00,0.125,0.014,0.134,9.457
2014-01-01 10:00,2014-01-01 12:00,0.161,0.024,0.163,9.670
2014-01-01 11:00,2014-01-01 13:00,0.176,0.033,0.170,9.901
2014-01-01 12:00,2014-01-01 14:00,0.123,0.020,0.126,9.987
2014-01-01 13:00,2014-01-01 15:00,0.093,0.019,0.095,9.963
2014-01-01 14:00,2014-01-01 16:00,0.014,0.003,0.024,9.514
2014-01-01 15:00,2014-01-01 17:00,0,0,0,9.008
2014-01-01 16:00,2014-01-01 18:00,0,0,0,9.023
2014-01-01 17:00,2014-01-01 19:00,0,0,0,9.073
2014-01-01 18:00,2014-01-01 20:00,0,0,0,9.049
2014-01-01 19:00,2014-01-01 21:00,0,0,0,9.033
2014-01-01 20:00,2014-01-01 22:00,0,0,0,8.999
2014-01-01 21:00,2014-01-01 23:00,0,0,0,8.986
2014-01-01 22:00,2014-01-02 00:00,0,0,0,9.000
2014-01-01 23:00,2014-01-02 01:00,0,0,0,9.037
2014-01-02 00:00,2014-01-02 02:00,0,0,0,8.806
2014-01-02 01:00,2014-01-02 03:00,0,0,0,8.751
2014-01-02 02:00,2014-01-02 04:00,0,0,0,8.898
2014-01-02 03:00,2014-01-02 05:00,0,0,0,8.958
2014-01-02 04:00,2014-01-02 06:00,0,0,0,8.922
2014-01-02 05:00,2014-01-02 07:00,0,0.001,0.002,8.724
2014-01-02 06:00,2014-01-02 08:00,0.071,0.040,0.051,9.162
2014-01-02 07:00,2014-01-02 09:00,0.221,0.141,0.110,9.764
2014-01-02 08:00,2014-01-02 10:00,0.364,0.269,0.143,10.234
2014-01-02 09:00,2014-01-02 11:00,0.342,0.212,0.176,10.648
2014-01-02 10:00,2014-01-02 12:00,0.352,0.214,0.185,10.982
2014-01-02 11:00,2014-01-02 13:00,0.380,0.269,0.165,11.213
2014-01-02 12:00,2014-01-02 14:00,0.472,0.440,0.105,11.430
2014-01-02 13:00,2014-01-02 15:00,0.322,0.283,0.083,11.296
2014-01-02 14:00,2014-01-02 16:00,0.100,0.078,0.044,10.397
2014-01-02 15:00,2014-01-02 17:00,0,0,0,8.820
2014-01-02 16:00,2014-01-02 18:00,0,0,0,8.346
2014-01-02 17:00,2014-01-02 19:00,0,0,0,8.007
2014-01-02 18:00,2014-01-02 20:00,0,0,0,7.856
2014-01-02 19:00,2014-01-02 21:00,0,0,0,7.954
2014-01-02 20:00,2014-01-02 22:00,0,0,0,8.110
2014-01-02 21:00,2014-01-02 23:00,0,0,0,8.173
2014-01-02 22:00,2014-01-03 00:00,0,0,0,8.172
2014-01-02 23:00,2014-01-03 01:00,0,0,0,8.150
2014-01-03 00:00,2014-01-03 02:00,0,0,0,8.118
2014-01-03 01:00,2014-01-03 03:00,0,0,0,8.045
2014-01-03 02:00,2014-01-03 04:00,0,0,0,7.979
2014-01-03 03:00,2014-01-03 05:00,0,0,0,7.929
2014-01-03 04:00,2014-01-03 06:00,0,0,0,7.918
2014-01-03 05:00,2014-01-03 07:00,0,0.002,0.002,7.927
2014-01-03 06:00,2014-01-03 08:00,0.135,0.105,0.053,8.538
2014-01-03 07:00,2014-01-03 09:00,0.328,0.279,0.091,10.157
2014-01-03 08:00,2014-01-03 10:00,0.472,0.437,0.107,11.009
2014-01-03 09:00,2014-01-03 11:00,0.568,0.558,0.112,11.724
2014-01-03 10:00,2014-01-03 12:00,0.554,0.528,0.126,12.310
2014-01-03 11:00,2014-01-03 13:00,0.487,0.432,0.136,12.576
2014-01-03 12:00,2014-01-03 14:00,0.309,0.213,0.141,12.606
2014-01-03 13:00,2014-01-03 15:00,0.163,0.089,0.102,12.380
2014-01-03 14:00,2014-01-03 16:00,0.050,0.027,0.041,11.474
2014-01-03 15:00,2014-01-03 17:00,0,0,0,10.551
2014-01-03 16:00,2014-01-03 18:00,0,0,0,10.260
2014-01-03 17:00,2014-01-03 19:00,0,0,0,9.979
2014-01-03 18:00,2014-01-03 20:00,0,0,0,9.727
2014-01-03 19:00,2014-01-03 21:00,0,0,0,9.480
2014-01-03 20:00,2014-01-03 22:00,0,0,0,9.244
2014-01-03 21:00,2014-01-03 23:00,0,0,0,8.958
2014-01-03 22:00,2014-01-04 00:00,0,0,0,8.571
2014-01-03 23:00,2014-01-04 01:00,0,0,0,8.118
2014-01-04 00:00,2014-01-04 02:00,0,0,0,7.768
2014-01-04 01:00,2014-01-04 03:00,0,0,0,7.506
2014-01-04 02:00,2014-01-04 04:00,0,0,0,7.314
2014-01-04 03:00,2014-01-04 05:00,0,0,0,7.181
2014-01-04 04:00,2014-01-04 06:00,0,0,0,7.114
2014-01-04 05:00,2014-01-04 07:00,0,0.003,0.003,7.146
2014-01-04 06:00,2014-01-04 08:00,0.183,0.162,0.047,8.176
2014-01-04 07:00,2014-01-04 09:00,0.404,0.391,0.069,10.352
2014-01-04 08:00,2014-01-04 10:00,0.550,0.567,0.078,11.327
2014-01-04 09:00,2014-01-04 11:00,0.627,0.668,0.083,12.104
2014-01-04 10:00,2014-01-04 12:00,0.646,0.695,0.085,12.701
2014-01-04 11:00,2014-01-04 13:00,0.600,0.631,0.087,13.053
2014-01-04 12:00,2014-01-04 14:00,0.508,0.516,0.081,13.154
2014-01-04 13:00,2014-01-04 15:00,0.354,0.337,0.069,12.886
2014-01-04 14:00,2014-01-04 16:00,0.118,0.102,0.041,11.565
2014-01-04 15:00,2014-01-04 17:00,0,0,0,9.970
2014-01-04 16:00,2014-01-04 18:00,0,0,0,9.544
2014-01-04 17:00,2014-01-04 19:00,0,0,0,9.321
2014-01-04 18:00,2014-01-04 20:00,0,0,0,9.236
2014-01-04 19:00,2014-01-04 21:00,0,0,0,9.222
2014-01-04 20:00,2014-01-04 22:00,0,0,0,9.455
2014-01-04 21:00,2014-01-04 23:00,0,0,0,9.374
2014-01-04 22:00,2014-01-05 00:00,0,0,0,9.265
2014-01-04 23:00,2014-01-05 01:00,0,0,0,9.208
2014-01-05 00:00,2014-01-05 02:00,0,0,0,9.202
2014-01-05 01:00,2014-01-05 03:00,0,0,0,9.187
2014-01-05 02:00,2014-01-05 04:00,0,0,0,9.192
2014-01-05 03:00,2014-01-05 05:00,0,0,0,9.006
2014-01-05 04:00,2014-01-05 06:00,0,0,0,8.548
2014-01-05 05:00,2014-01-05 07:00,0.001,0.003,0.003,8.044
2014-01-05 06:00,2014-01-05 08:00,0.197,0.180,0.045,8.815
2014-01-05 07:00,2014-01-05 09:00,0.414,0.408,0.066,10.858
2014-01-05 08:00,2014-01-05 10:00,0.555,0.580,0.075,12.162
2014-01-05 09:00,2014-01-05 11:00,0.640,0.696,0.078,13.105
2014-01-05 10:00,2014-01-05 12:00,0.655,0.718,0.080,13.720
2014-01-05 11:00,2014-01-05 13:00,0.624,0.678,0.078,14.049
2014-01-05 12:00,2014-01-05 14:00,0.526,0.549,0.075,14.087
2014-01-05 13:00,2014-01-05 15:00,0.348,0.332,0.069,13.773
2014-01-05 14:00,2014-01-05 16:00,0.120,0.104,0.041,12.356
2014-01-05 15:00,2014-01-05 17:00,0,0,0.001,10.576
2014-01-05 16:00,2014-01-05 18:00,0,0,0,10.163
2014-01-05 17:00,2014-01-05 19:00,0,0,0,10.026
2014-01-05 18:00,2014-01-05 20:00,0,0,0,10.159
2014-01-05 19:00,2014-01-05 21:00,0,0,0,10.404
2014-01-05 20:00,2014-01-05 22:00,0,0,0,10.451
2014-01-05 21:00,2014-01-05 23:00,0,0,0,10.450
2014-01-05 22:00,2014-01-06 00:00,0,0,0,10.411
2014-01-05 23:00,2014-01-06 01:00,0,0,0,10.570
2014-01-06 00:00,2014-01-06 02:00,0,0,0,10.764
2014-01-06 01:00,2014-01-06 03:00,0,0,0,10.940
2014-01-06 02:00,2014-01-06 04:00,0,0,0,11.177
2014-01-06 03:00,2014-01-06 05:00,0,0,0,11.380
2014-01-06 04:00,2014-01-06 06:00,0,0,0,11.418
2014-01-06 05:00,2014-01-06 07:00,0,0,0.001,11.480
2014-01-06 06:00,2014-01-06 08:00,0.020,0.003,0.031,12.009
2014-01-06 07:00,2014-01-06 09:00,0.063,0.007,0.076,12.748
2014-01-06 08:00,2014-01-06 10:00,0.108,0.013,0.120,13.170
2014-01-06 09:00,2014-01-06 11:00,0.135,0.016,0.146,13.380
2014-01-06 10:00,2014-01-06 12:00,0.123,0.012,0.137,13.460
2014-01-06 11:00,2014-01-06 13:00,0.097,0.008,0.113,13.424
2014-01-06 12:00,2014-01-06 14:00,0.068,0.005,0.085,13.307
2014-01-06 13:00,2014-01-06 15:00,0.036,0.003,0.050,12.960
2014-01-06 14:00,2014-01-06 16:00,0.008,0.001,0.017,12.276
2014-01-06 15:00,2014-01-06 17:00,0,0,0,11.643
2014-01-06 16:00,2014-01-06 18:00,0,0,0,11.401
2014-01-06 17:00,2014-01-06 19:00,0,0,0,11.216
2014-01-06 18:00,2014-01-06 20:00,0,0,0,11.058
2014-01-06 19:00,2014-01-06 21:00,0,0,0,10.899
2014-01-06 20:00,2014-01-06 22:00,0,0,0,10.759
2014-01-06 21:00,2014-01-06 23:00,0,0,0,10.696
2014-01-06 22:00,2014-01-07 00:00,0,0,0,10.696
2014-01-06 23:00,2014-01-07 01:00,0,0,0,10.703
2014-01-07 00:00,2014-01-07 02:00,0,0,0,10.742
2014-01-07 01:00,2014-01-07 03:00,0,0,0,10.713
2014-01-07 02:00,2014-01-07 04:00,0,0,0,10.469
2014-01-07 03:00,2014-01-07 05:00,0,0,0,10.181
2014-01-07 04:00,2014-01-07 06:00,0,0,0,9.936
2014-01-07 05:00,2014-01-07 07:00,0,0.001,0.002,9.991
2014-01-07 06:00,2014-01-07 08:00,0.023,0.005,0.033,10.899
2014-01-07 07:00,2014-01-07 09:00,0.053,0.006,0.066,11.884
2014-01-07 08:00,2014-01-07 10:00,0.117,0.018,0.124,12.487
