# Renewables.ninja Solar PV (Point API) - 41.890, 12.493 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Rome, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Rome"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""41.8897"""," ""lon"": ""12.493"""," ""date_from"": ""2014-01-01"""," ""date_to"": ""2014-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
2014/01/01 00:00,2014/01/01 01:00,0,0,0,7.314,,,,,,,,,,,,,
2014/01/01 01:00,2014/01/01 02:00,0,0,0,7.091,,,,,,,,,,,,,
2014/01/01 02:00,2014/01/01 03:00,0,0,0,6.898,,,,,,,,,,,,,
2014/01/01 03:00,2014/01/01 04:00,0,0,0,6.862,,,,,,,,,,,,,
2014/01/01 04:00,2014/01/01 05:00,0,0,0,6.938,,,,,,,,,,,,,
2014/01/01 05:00,2014/01/01 06:00,0,0,0,7.142,,,,,,,,,,,,,
2014/01/01 06:00,2014/01/01 07:00,0,0.003,0.003,7.137,,,,,,,,,,,,,
2014/01/01 07:00,2014/01/01 08:00,0.128,0.102,0.049,7.703,,,,,,,,,,,,,
2014/01/01 08:00,2014/01/01 09:00,0.316,0.274,0.082,8.909,,,,,,,,,,,,,
2014/01/01 09:00,2014/01/01 10:00,0.464,0.441,0.091,10.137,,,,,,,,,,,,,
2014/01/01 10:00,2014/01/01 11:00,0.578,0.597,0.084,11.204,,,,,,,,,,,,,
2014/01/01 11:00,2014/01/01 12:00,0.588,0.614,0.083,11.836,,,,,,,,,,,,,
2014/01/01 12:00,2014/01/01 13:00,0.547,0.565,0.078,12.068,,,,,,,,,,,,,
2014/01/01 13:00,2014/01/01 14:00,0.439,0.437,0.07,11.935,,,,,,,,,,,,,
2014/01/01 14:00,2014/01/01 15:00,0.257,0.238,0.054,11.155,,,,,,,,,,,,,
2014/01/01 15:00,2014/01/01 16:00,0.034,0.037,0.013,9.246,,,,,,,,,,,,,
2014/01/01 16:00,2014/01/01 17:00,0,0,0,8.391,,,,,,,,,,,,,
2014/01/01 17:00,2014/01/01 18:00,0,0,0,7.97,,,,,,,,,,,,,
2014/01/01 18:00,2014/01/01 19:00,0,0,0,7.673,,,,,,,,,,,,,
2014/01/01 19:00,2014/01/01 20:00,0,0,0,7.64,,,,,,,,,,,,,
2014/01/01 20:00,2014/01/01 21:00,0,0,0,7.318,,,,,,,,,,,,,
2014/01/01 21:00,2014/01/01 22:00,0,0,0,6.654,,,,,,,,,,,,,
2014/01/01 22:00,2014/01/01 23:00,0,0,0,5.997,,,,,,,,,,,,,
2014/01/01 23:00,2014/01/02 00:00,0,0,0,5.515,,,,,,,,,,,,,
2014/01/02 00:00,2014/01/02 01:00,0,0,0,5.193,,,,,,,,,,,,,
2014/01/02 01:00,2014/01/02 02:00,0,0,0,5.016,,,,,,,,,,,,,
2014/01/02 02:00,2014/01/02 03:00,0,0,0,4.856,,,,,,,,,,,,,
2014/01/02 03:00,2014/01/02 04:00,0,0,0,4.556,,,,,,,,,,,,,
2014/01/02 04:00,2014/01/02 05:00,0,0,0,4.267,,,,,,,,,,,,,
2014/01/02 05:00,2014/01/02 06:00,0,0,0,4.081,,,,,,,,,,,,,
2014/01/02 06:00,2014/01/02 07:00,0,0.003,0.003,4.057,,,,,,,,,,,,,
2014/01/02 07:00,2014/01/02 08:00,0.083,0.048,0.054,5.67,,,,,,,,,,,,,
2014/01/02 08:00,2014/01/02 09:00,0.154,0.069,0.108,7.858,,,,,,,,,,,,,
2014/01/02 09:00,2014/01/02 10:00,0.195,0.075,0.147,9.091,,,,,,,,,,,,,
2014/01/02 10:00,2014/01/02 11:00,0.2,0.065,0.164,10.079,,,,,,,,,,,,,
2014/01/02 11:00,2014/01/02 12:00,0.166,0.04,0.154,10.652,,,,,,,,,,,,,
2014/01/02 12:00,2014/01/02 13:00,0.111,0.018,0.116,10.786,,,,,,,,,,,,,
2014/01/02 13:00,2014/01/02 14:00,0.064,0.008,0.076,10.704,,,,,,,,,,,,,
2014/01/02 14:00,2014/01/02 15:00,0.026,0.004,0.038,10.378,,,,,,,,,,,,,
2014/01/02 15:00,2014/01/02 16:00,0.002,0.002,0.008,9.707,,,,,,,,,,,,,
