# Renewables.ninja Solar PV (Point API) - 41.890, 12.493 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Rome, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Rome"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""41.8897"""," ""lon"": ""12.493"""," ""date_from"": ""2014-01-01"""," ""date_to"": ""2014-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
2014/01/01 00:00,2014/01/01 01:00,0,0,0,8.558,0,,,,,,,,,,,,,
2014/01/01 01:00,2014/01/01 02:00,0,0,0,8.297,0,,,,,,,,,,,,,
2014/01/01 02:00,2014/01/01 03:00,0,0,0,8.071,0,,,,,,,,,,,,,
2014/01/01 03:00,2014/01/01 04:00,0,0,0,8.029,0,,,,,,,,,,,,,
2014/01/01 04:00,2014/01/01 05:00,0,0,0,8.118,0,,,,,,,,,,,,,
2014/01/01 05:00,2014/01/01 06:00,0,0,0,8.356,0,,,,,,,,,,,,,
2014/01/01 06:00,2014/01/01 07:00,0,0,0,8.351,0,,,,,,,,,,,,,
2014/01/01 07:00,2014/01/01 08:00,0.095,0.092,0.026,9.013,0,,,,,,,,,,,,,
2014/01/01 08:00,2014/01/01 09:00,0.396,0.4,0.045,10.423,0,,,,,,,,,,,,,
2014/01/01 09:00,2014/01/01 10:00,0.539,0.534,0.083,11.86,0,,,,,,,,,,,,,
2014/01/01 10:00,2014/01/01 11:00,0.522,0.452,0.148,13.11,0,,,,,,,,,,,,,
2014/01/01 11:00,2014/01/01 12:00,0.62,0.586,0.14,13.849,0,,,,,,,,,,,,,
2014/01/01 12:00,2014/01/01 13:00,0.692,0.721,0.101,14.12,0,,,,,,,,,,,,,
2014/01/01 13:00,2014/01/01 14:00,0.581,0.57,0.106,13.964,0,,,,,,,,,,,,,
2014/01/01 14:00,2014/01/01 15:00,0.384,0.34,0.096,13.052,0,,,,,,,,,,,,,
2014/01/01 15:00,2014/01/01 16:00,0.074,0.055,0.041,10.818,0,,,,,,,,,,,,,
2014/01/01 16:00,2014/01/01 17:00,0,0,0,9.817,0,,,,,,,,,,,,,
2014/01/01 17:00,2014/01/01 18:00,0,0,0,9.326,0,,,,,,,,,,,,,
2014/01/01 18:00,2014/01/01 19:00,0,0,0,8.978,0,,,,,,,,,,,,,
2014/01/01 19:00,2014/01/01 20:00,0,0,0,8.939,0,,,,,,,,,,,,,
2014/01/01 20:00,2014/01/01 21:00,0,0,0,8.563,0,,,,,,,,,,,,,
2014/01/01 21:00,2014/01/01 22:00,0,0,0,7.786,0,,,,,,,,,,,,,
2014/01/01 22:00,2014/01/01 23:00,0,0,0,7.016,0,,,,,,,,,,,,,
2014/01/01 23:00,2014/01/02 00:00,0,0,0,6.453,0,,,,,,,,,,,,,
2014/01/02 00:00,2014/01/02 01:00,0,0,0,6.076,0,,,,,,,,,,,,,
2014/01/02 01:00,2014/01/02 02:00,0,0,0,5.869,0,,,,,,,,,,,,,
2014/01/02 02:00,2014/01/02 03:00,0,0,0,5.682,0,,,,,,,,,,,,,
2014/01/02 03:00,2014/01/02 04:00,0,0,0,5.331,0,,,,,,,,,,,,,
2014/01/02 04:00,2014/01/02 05:00,0,0,0,4.993,0,,,,,,,,,,,,,
2014/01/02 05:00,2014/01/02 06:00,0,0,0,4.776,0,,,,,,,,,,,,,
2014/01/02 06:00,2014/01/02 07:00,0,0,0,4.747,0,,,,,,,,,,,,,
2014/01/02 07:00,2014/01/02 08:00,0.029,0.018,0.027,6.634,0,,,,,,,,,,,,,
2014/01/02 08:00,2014/01/02 09:00,0.173,0.121,0.08,9.194,0,,,,,,,,,,,,,
2014/01/02 09:00,2014/01/02 10:00,0.128,0.02,0.134,10.637,0,,,,,,,,,,,,,
2014/01/02 10:00,2014/01/02 11:00,0.145,0.013,0.159,11.793,0,,,,,,,,,,,,,
2014/01/02 11:00,2014/01/02 12:00,0.26,0.096,0.201,12.464,0,,,,,,,,,,,,,
2014/01/02 12:00,2014/01/02 13:00,0.154,0.027,0.156,12.621,0,,,,,,,,,,,,,
2014/01/02 13:00,2014/01/02 14:00,0.032,0,0.05,12.524,0,,,,,,,,,,,,,
2014/01/02 14:00,2014/01/02 15:00,0.081,0.032,0.072,12.143,0,,,,,,,,,,,,,
2014/01/02 15:00,2014/01/02 16:00,0.053,0.034,0.04,11.357,0,,,,,,,,,,,,,
2014/01/02 16:00,2014/01/02 17:00,0,0,0,10.886,0,,,,,,,,,,,,,
2014/01/02 17:00,2014/01/02 18:00,0,0,0,10.706,0,,,,,,,,,,,,,
2014/01/02 18:00,2014/01/02 19:00,0,0,0,10.528,0,,,,,,,,,,,,,
2014/01/02 19:00,2014/01/02 20:00,0,0,0,10.515,0,,,,,,,,,,,,,
2014/01/02 20:00,2014/01/02 21:00,0,0,0,10.604,0,,,,,,,,,,,,,
2014/01/02 21:00,2014/01/02 22:00,0,0,0,10.636,0,,,,,,,,,,,,,
2014/01/02 22:00,2014/01/02 23:00,0,0,0,10.698,0,,,,,,,,,,,,,
2014/01/02 23:00,2014/01/03 00:00,0,0,0,10.704,0,,,,,,,,,,,,,
2014/01/03 00:00,2014/01/03 01:00,0,0,0,10.47,0,,,,,,,,,,,,,
2014/01/03 01:00,2014/01/03 02:00,0,0,0,9.801,0,,,,,,,,,,,,,
2014/01/03 02:00,2014/01/03 03:00,0,0,0,9.478,0,,,,,,,,,,,,,
2014/01/03 03:00,2014/01/03 04:00,0,0,0,9.367,0,,,,,,,,,,,,,
2014/01/03 04:00,2014/01/03 05:00,0,0,0,9.608,0,,,,,,,,,,,,,
2014/01/03 05:00,2014/01/03 06:00,0,0,0,9.748,0,,,,,,,,,,,,,
2014/01/03 06:00,2014/01/03 07:00,0,0,0,9.84,0,,,,,,,,,,,,,
2014/01/03 07:00,2014/01/03 08:00,0.093,0.091,0.026,11.028,0,,,,,,,,,,,,,
2014/01/03 08:00,2014/01/03 09:00,0.32,0.299,0.066,13.069,0,,,,,,,,,,,,,
2014/01/03 09:00,2014/01/03 10:00,0.376,0.319,0.111,14.271,0,,,,,,,,,,,,,
